mmp_ID	DB	assembly_accession	bioproject_accession	biosample_accession	genbank_accession	NCBI_refseq_accession	analysis_project_type	sequencing_depth	publication_pmid	ref_biomaterial	tRNAs	rRNA5S	rRNA16S	rRNA23S	GC	contigs	Assembly_length	N50	genomes	markers	marker_sets	zero	one	two	three	four	fivepluss	Completeness	Contamination	Strain_heterogeneity
MMP00002700	MarRef	GCA_000024845.1	PRJNA29281	SAMN00002700	CP001807|CP001808	NC_013501.1|NC_013502.1	Whole genome sequencing (WGS)	8.8|23.8	21304669	10.1099/00221287-134-2-299	46	1	1	1	64.30390078	2	3386738	3261604	433	265	177	0	265	0	0	0	0	100	0	0
MMP00002730	MarRef	GCA_000092465.1	PRJNA33683	SAMN00002730	CP002051.1	NC_014205.1	Whole genome sequencing (WGS)	missing	22180806	11155985	46	0	1	1	36.83830197	1	1580348	1580348	41	245	158	1	244	0	0	0	0	99.37	0	0
MMP00010387	MarRef	GCA_000299115.1	PRJNA46519	SAMN00010387	CP003801.1	NC_018644.1	Whole genome sequencing (WGS)	165	missing	missing	35	1	1	1	32.26333515	1	1410128	1410128	2993	139	83	4	135	0	0	0	0	95.78	0	0
MMP00015125	MarRef	GCA_000196655.1	PRJNA37945	SAMN00015125	CP002069.1|CP002070.1	NC_014253.1|NC_014254.1	Whole genome sequencing (WGS)	missing	missing	missing	49	2	2	2	36.42495819	2	2406233	2242317	95	228	153	0	227	0	0	1	0	100	1.96	0
MMP00016662	MarRef	GCA_000299095.1	PRJNA50099	SAMN00016662	CP003809.1	NC_018643.1	Whole genome sequencing (WGS)	130	missing	missing	32	1	1	1	28.63188113	1	1343203	1343203	83	323	210	0	322	1	0	0	0	100	0.48	0
MMP00016780	MarRef	GCA_000178875.2	PRJNA47019	SAMN00016780	CP002383|CP002384	NC_016901.1|NC_016905.1	Whole genome sequencing (WGS)	missing	22328742	10.3354/ame013063	107	11	10	10	46.28790931	2	5368768	5288069	26	989	339	2	987	0	0	0	0	99.84	0	0
MMP00016994	MarRef	GCA_000147735.3	PRJNA49719	SAMN00016994	CP002767.1|CP002768.1|CP002769.1	NC_017571.1|NC_017572.1|NC_017570.1	Whole genome sequencing (WGS)	missing	22328742	22328742	110	11	10	10	46.1260249	3	5199402	5066051	26	989	339	2	987	0	0	0	0	99.84	0	0
MMP00017400	MarRef	GCA_000147875.1	PRJNA40773	SAMN00017400	CP002117.1	NC_014507.1	Whole genome sequencing (WGS)	30	21304750	9037763	48	3	2	2	47.3991749	1	2843291	2843291	90	234	153	1	231	2	0	0	0	99.67	1.31	0
MMP00017418	MarRef	GCA_000828755.1	PRJDB2890	SAMD00017418	AP014655.1	NZ_AP014655.1	Whole genome sequencing (WGS)	31.5	25523772	9680302	59	4	4	4	60.0775972	1	4861259	4861259	228	583	244	0	582	1	0	0	0	100	0.14	0
MMP00017459	MarRef	GCA_000025285.1	PRJNA32583	SAMN00017459	CP001857.1|CP001858.1	NC_013741.1|NC_013742.1	Whole genome sequencing (WGS)	missing	21304717	10.1016/S0723-2020(11)80176-1	48	1	1	1	42.00456306	2	1563424	1560622	95	228	153	1	227	0	0	0	0	99.84	0	0
MMP00017484	MarRef	GCA_000092305.1	PRJNA32611	SAMN00017484	CP002009.1	NC_014122.1	Whole genome sequencing (WGS)	missing	missing	9734046	38	2	2	2	33.61850754	1	1328195	1328195	32	308	210	2	306	0	0	0	0	99.05	0	0
MMP00019677	MarRef	GCA_000828475.1	PRJDB3104	SAMD00019677	AP014648.1	NZ_AP014648.1	Whole genome sequencing (WGS)	71	missing	24096357	50	1	1	1	62.84232477	1	3424965	3424965	356	413	248	6	402	5	0	0	0	97.78	0.65	0
MMP00036656	MarRef	GCA_002887615.1	PRJNA429387	SAMD00036656	CP025792,CP025793	NZ_CP025792.1│NZ_CP0257932.1	Whole genome sequencing (WGS)	279	23710045	23710045	14	13	12	12	45.1316407	2	5989523	3690481	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
MMP00036750	MarRef	GCA_000520135.1	PRJDB1308	SAMD00036750	BASI01000000	NZ_CP015418.1|NZ_CP015419.1|NZ_CP015420.1	Whole genome sequencing (WGS)	70	23929476	4725822	58	3	3	3	66.52254421	3	4346305	4130470	84	568	330	3	561	4	0	0	0	99.29	0.91	0
MMP00044342	MarRef	GCA_002355395.1	PRJDB4439	SAMD00044342	AP017315	NZ_AP017315.1	Whole genome sequencing (WGS)	76	26808869	18368287	46	1	1	1	68.42066318	1	2702837	2702837	69	400	198	3	396	1	0	0	0	99.38	0.25	0
MMP00046983	MarRef	GCA_002355575.1	PRJDB4555	SAMD00046983	AP017373|AP017399	NZ_AP017373.1:NZ_AP017399.1	Whole genome sequencing (WGS)	1169	27389264	Doi.org/10.3147/jsfp.50.37	66	5	5	5	62.32759607	3	4650997	4144900	294	469	262	0	469	0	0	0	0	100	0	0
MMP00051107	MarRef	GCA_002356215.1	PRJDB4740	SAMD00051107	AP017959|AP017960|AP017961|AP017962|AP017963	NZ_AP017959.1:NZ_AP017960.1:NZ_AP017961.1:NZ_AP017962.1:NZ_AP017963.1	Whole genome sequencing (WGS)	173	28385852	28385852	44	0	2	2	49.42396568	5	3123859	2836539	79	584	458	3	578	3	0	0	0	99.34	0.55	66.67
MMP00052035	MarRef	GCA_001685485.1	PRJDB4855	SAMD00052035	BDEL00000000	NZ_BDEL01000001.1	Whole genome sequencing (WGS)	25	27856598	26354496	46	0	4	4	34.36347848	1	4305802	4305802	47	571	303	3	560	8	0	0	0	99.01	1.2	25
MMP00053810	MarRef	GCA_002355635.1	PRJDB4920	SAMD00053810	AP017558|AP017559	NZ_AP017558.1:NZ_AP017559.1	Whole genome sequencing (WGS)	396.84	missing	missing	63	2	2	2	65.96701736	2	3105937	2967917	40	417	263	7	409	1	0	0	0	98.22	0.13	0
MMP00053811	MarRef	GCA_002355655.1	PRJDB4921	SAMD00053811	AP017569|AP017570|AP017571	NZ_AP017569.1:NZ_AP017570.1:NZ_AP017571.1	Whole genome sequencing (WGS)	319.23	missing	missing	49	2	2	2	68.62839057	3	3080199	2835595	40	417	263	3	412	2	0	0	0	99.38	0.51	0
MMP00060908	MarRef	GCA_000010405.1	PRJDA18267	SAMD00060908	AP009247	NC_009465.1	Whole genome sequencing (WGS)	missing	21966992|17493812	missing	37	1	1	1	31.59494558	1	1022155	1022155	1495	245	154	13	232	0	0	0	0	93.54	0	0
MMP00060912	MarRef	GCA_000269945.1	PRJDA18707	SAMD00060912	AP009333	NC_017490.1	Whole genome sequencing (WGS)	missing	21829716	16882159	60	6	5	5	38.14414022	2	2000108	1985694	294	469	262	0	469	0	0	0	0	100	0	0
MMP00060914	MarRef	GCA_000010325.1	PRJDA18963	SAMD00060914	AP009178	NC_009662.1	Whole genome sequencing (WGS)	missing	17615243	16156735	45	0	3	3	39.68862541	1	1877932	1877932	138	338	246	3	335	0	0	0	0	98.78	0	0
MMP00060915	MarRef	GCA_000010345.1	PRJDA18965	SAMD00060915	AP009179	NC_009663.1	Whole genome sequencing (WGS)	missing	1493.28333333333	missing	45	0	3	3	43.87148618	1	2562278	2562278	138	335	244	1	332	2	0	0	0	99.59	0.61	0
MMP00060932	MarRef	GCA_000010105.1	PRJDA20395	SAMD00060932	AP008957.1|AP008932|AP008933|AP008931	NC_012490.1|NC_007486.1|NC_007487.1|NC_007491.1	Whole genome sequencing (WGS)	10	16423019	10.1016/S0922-338X(97)81254-8	54	5	5	5	62.3083072	4	6895539	6516310	120	572	265	1	569	2	0	0	0	99.94	0.57	0
MMP00060963	MarRef	GCA_000091325.1	PRJDA34739	SAMD00060963	AP011177	NC_014012.1	Whole genome sequencing (WGS)	missing	20458400	10.1007/BF00115311	133	15	14	14	44.7163229	1	4962104	4962104	30	868	324	2	866	0	0	0	0	99.84	0	0
MMP00060965	MarRef	GCA_000010985.1	PRJDA37285	SAMD00060965	AP011529|AP011530	NC_013939.1|NC_013940.1	Whole genome sequencing (WGS)	missing	20189949	12807210	44	2	2	2	30.31082612	2	2542934	2234389	2258	186	116	4	180	2	0	0	0	96.55	1.72	0
MMP00060985	MarRef	GCA_000348785.1	PRJDA63297	SAMD00060985	AP012057.1	NC_020520.1	Whole genome sequencing (WGS)	8	23524358	23524358	47	2	2	2	67.29244722	1	4830182	4830182	901	171	117	1	168	2	0	0	0	99.15	1.71	0
MMP00060997	MarRef	GCA_000828615.1	PRJDA72157	SAMD00060997	AP012273.1|AP012274.1|AP012275.1	NZ_AP012273.1|NZ_AP012274.1|NZ_AP012275.1	Whole genome sequencing (WGS)	30	25133584	25133584	40	1	1	1	56.23786124	3	3153638	3129662	112	577	287	8	565	4	0	0	0	98.78	0.6	0
MMP00061006	MarRef	GCA_000591035.1	PRJDB107	SAMD00061006	AP012489.1	NC_022521.1	Whole genome sequencing (WGS)	67	23872576	15023940	48	0	1	1	56.73204285	1	1595995	1595995	41	245	158	5	239	1	0	0	0	97.15	0.63	0
MMP00061027	MarRef	GCA_000831385.1	PRJDB1596	SAMD00061027	AP014548.1	NZ_AP014548.1	Whole genome sequencing (WGS)	183	24706784	22736101	37	0	2	2	39.52515844	1	2915921	2915921	33	496	263	9	487	0	0	0	0	97.78	0	0
MMP00061032	MarRef	GCA_000284115.1	PRJDB46	SAMD00061032	AP012338|AP012339	NC_017080.1:NC_017081.1	Whole genome sequencing (WGS)	8|7	missing	19700920	46	0	1	1	73.21885438	2	3884383	3803225	2921	143	88	4	139	0	0	0	0	95.45	0	0
MMP00061055	MarRef	GCA_000801295.1	PRJDB691	SAMD00061055	AP012978.1	NZ_AP012978.1	Whole genome sequencing (WGS)	40	23924784	23924784	43	1	1	1	65.05711269	1	2597760	2597760	112	577	287	4	568	5	0	0	0	98.9	0.64	0
MMP00061072	MarRef	GCA_000009785.1	PRJNA13233	SAMD00061072	BA000043|AP006520	NC_006510.1|NC_006509.1	Whole genome sequencing (WGS)	missing	15576355	9231422	88	9	9	9	51.98042345	2	3592667	3544776	27	604	178	1	603	0	0	0	0	99.44	0	0
MMP00061089	MarRef	GCA_000011185.1	PRJNA206	SAMD00061089	BA000011.4	NC_002689.2	Whole genome sequencing (WGS)	missing	11121031|10.2183/pjab.75.213 :1	10.1016/S0723-2020(88)80031-6	46	1	1	1	39.91850096	1	1584805	1584805	148	186	123	3	183	0	0	0	0	97.97	0	0
MMP00061090	MarRef	GCA_000011105.1	PRJNA207	SAMD00061090	BA000001.2	NC_000961.1	Whole genome sequencing (WGS)	missing	9679194|9679203	9672687	47	2	1	1	41.87897072	1	1738506	1738506	45	299	202	0	299	0	0	0	0	100	0	0
MMP00061092	MarRef	GCA_000011125.1	PRJNA211	SAMD00061092	BA000002.3	missing	Whole genome sequencing (WGS)	missing	10382966	8863437	51	0	1	1	56.31126864	1	1669697	1669697	41	245	158	4	239	2	0	0	0	97.78	0.95	0
MMP00061101	MarRef	GCA_000011245.1	PRJNA284	SAMD00061101	BA000028	NC_004193.1	Whole genome sequencing (WGS)	missing	12235376	10.1007/s007920050104	71	8	7	7	35.68131137	1	3630529	3630529	765	274	150	1	271	2	0	0	0	99.33	0.56	0
MMP00061111	MarRef	GCA_000283575.1	PRJNA41823	SAMD00061111	AP012044|AP012045	NC_016048.1	Whole genome sequencing (WGS)	8	23408234	17684268	72	0	3	3	53.1857312	2	4470623	4410036	172	263	149	2	259	2	0	0	0	98.99	1.01	0
MMP00066002	MarRef	GCA_002356035.1	PRJDB5277	SAMD00066002	AP017900	NZ_AP017900.1	Whole genome sequencing (WGS)	133	28257489	28257489	66	4	4	4	68.13826556	1	8121733	8121733	120	567	264	1	554	12	0	0	0	99.81	2.62	0
MMP00066775	MarRef	GCF_003584645.1	PRJDB5306	SAMD00066775	AP017928	NZ_AP017928	Whole genome sequencing (WGS)	102.4	missing	24981325	51	2	2	2	58.74695923	1	6088916	6088916	112	575	289	4	550	19	2	0	0	99.83	4.93	0
MMP00078003	MarRef	GCA_002356295.1	PRJDB5655	SAMD00078003	AP018042	NZ_AP018042.1	Whole genome sequencing (WGS)	194	Doi.org/10.1016/j.margen.2017.06.006	Doi.org/10.1016/j.margen.2017.06.006	51	2	3	2	68.07581813	1	2269168	2269168	434	278	186	1	271	6	0	0	0	99.46	2.69	0
MMP00079801	MarRef	GCA_002368095.1	PRJDB5665	SAMD00079801	AP018227|AP018228|AP018229|AP018230|AP018231|AP018232	NZ_AP018227.1:NZ_AP018228.1:NZ_AP018229.1:NZ_AP018230.1:NZ_AP018231.1:NZ_AP018232.1	Whole genome sequencing (WGS)	88	missing	missing	23	3	3	3	36.8095695	6	9491741	8952435	82	579	450	2	566	11	0	0	0	99.7	1.7	0
MMP00081530	MarRef	GCA_002356335.1	PRJDB5828	SAMD00081530	AP018165	NZ_AP018165.1	Whole genome sequencing (WGS)	37	28818905	28857733	50	1	1	1	63.95231941	1	4994485	4994485	100	693	300	3	688	2	0	0	0	99.33	0.36	0
MMP00096819	MarRef	GCF_003584745.1	PRJDB6390	SAMD00096819	AP018410	NZ_AP018410	Whole genome sequencing (WGS)	90	29192083	29192083	47	1	1	1	65.64007802	1	6061597	6061597	100	692	300	3	684	5	0	0	0	99.71	0.73	20
MMP00100784	MarRef	GCA_000179575.2	PRJNA43653	SAMN00100784	CP002792.1|CP002793.1	NC_015636.1|NC_015632.1	Whole genome sequencing (WGS)	30	missing	12148612	38	0	2	2	29.27679133	2	1677456	1662525	32	308	210	2	306	0	0	0	0	99.05	0	0
MMP00108308	MarRef	GCF_003569745.1	PRJDB6592	SAMD00108308	AP018498	NZ_AP018498	Whole genome sequencing (WGS)	227	29567747	29567747	51	2	2	2	65.4333134	1	3842046	3842046	26	569	293	3	556	10	0	0	0	99.48	0.94	0
MMP00115627	MarRef	GCA_000148645.1	PRJNA30799	SAMN00115627	CP002209	NC_014541.1	Whole genome sequencing (WGS)	30	21304747	10.1016/S0723-2020(11)80390-5	122	8	7	7	60.21947303	1	4279160	4279160	899	309	183	0	309	0	0	0	0	100	0	0
MMP00116458	MarRef	GCA_000165505.1	PRJNA32577	SAMN00116458	CP002281|CP002282|CP002283	NC_014632.1|NC_014633.1|NC_014634.1	Whole genome sequencing (WGS)	124.8|91.0	21304735	10.1007/BF00454916	34	10	8	8	34.36548826	3	3132315	2046464	174	149	89	0	149	0	0	0	0	100	0	0
MMP00131843	MarRef	GCF_003354245.1	PRJDB7216	SAMD00131843	LC127084	NZ_LC127084	Whole genome sequencing (WGS)		missing	missing	96	8	7	7	59.74529491	1	3755402	3755402	223	860	300	5	853	2	0	0	0	99.06	0.25	0
MMP00138949	MarRef	GCA_000183425.1	PRJNA37901	SAMN00138949	CP002349|CP002350	NC_014750.1|NC_014759.1	Whole genome sequencing (WGS)	30	21677852	5360473	41	0	2	2	35.51676191	2	4516491	4511574	47	454	336	0	453	1	0	0	0	100	0.3	0
MMP00138957	MarRef	GCA_000183745.1	PRJNA40223	SAMN00138957	CP002361|CP002362	NC_014753.1|NC_014761.1	Whole genome sequencing (WGS)	88|17|00	21677858	12807196	1	2	2	2	69.81475355	2	2439292	2303940	169	315	235	5	305	5	0	0	0	98.72	2.13	0
MMP00190054	MarRef	GCA_000186265.1	PRJNA41529	SAMN00190054	CP002453	NC_014934.1	Whole genome sequencing (WGS)	30	21475589	11034497	45	0	5	5	33.76617851	1	4888354	4888354	47	571	303	1	567	3	0	0	0	99.67	0.71	0
MMP00191235	MarRef	GCA_000184345.2	PRJNA50823	SAMN00191235	CP002903.1	NC_017583.1	Whole genome sequencing (WGS)	30	missing	10.1099/00207713-42-1-175	46	2	2	2	60.91831099	1	2560223	2560223	72	215	125	0	215	0	0	0	0	100	0	0
MMP00622970	MarRef	GCA_000013005.1	PRJNA13480	SAMN00622970	CP000157	NC_007722.1	Whole genome sequencing (WGS)	missing	19168610	missing	43	1	1	1	63.06851204	1	3052399	3052399	26	569	293	2	567	0	0	0	0	99.59	0	0
MMP00622972	MarRef	GCA_000018585.1	PRJNA13551	SAMN00622972	CP000878	NC_009976	Whole genome sequencing (WGS)	missing	18159947	missing	40	0	1	1	38.00728613	1	1688964	1688964	129	472	368	1	471	0	0	0	0	99.73	0	0
MMP00622974	MarRef	GCA_000153405.2	PRJNA13583	SAMN00622974	CP004404.1	NC_020802.1	Whole genome sequencing (WGS)	8|8	23723403	17814858	92	11	10	10	38.61650303	1	3052411	3052411	899	312	185	0	312	0	0	0	0	100	0	0
MMP00623051	MarRef	GCA_000017185.1	PRJNA18641	SAMN00623051	CP000743.1	NC_009635.1	Whole genome sequencing (WGS)	missing	missing	16825624	39	0	2	2	30.03746416	1	1569501	1569501	32	308	210	3	305	0	0	0	0	99.03	0	0
MMP00623057	MarRef	GCA_000012465.1	PRJNA13911	SAMN00623057	CP000095	NC_007335.2	Whole genome sequencing (WGS)	missing	18159947	Http://dx.doi.org/10.1080/09670269600651131	39	0	1	1	35.1230317	1	1842900	1842900	129	469	365	2	467	0	0	0	0	99.45	0	0
MMP00623061	MarRef	GCA_000018765.1	PRJNA13389	SAMN00623061	CP000891|CP000893|CP000894|CP000892	NC_009997.1|NC_009999.1|NC_010000.1|NC_009998.1	Whole genome sequencing (WGS)	missing	missing	missing	109	11	10	10	46.17446928	4	5547545	5347283	26	989	339	2	987	0	0	0	0	99.84	0	0
MMP00623062	MarRef	GCA_000021665.1	PRJNA17985	SAMN00623062	CP001252|CP001254|CP001255|CP001253	NC_011663.1|NC_011668.1|NC_011665.1|NC_011664.1	Whole genome sequencing (WGS)	missing	missing	missing	112	11	10	10	46.2660136	4	5358885	5145902	26	989	339	3	986	0	0	0	0	99.8	0	0
MMP00623064	MarRef	GCA_000016065.1	PRJNA13906	SAMN00623064	CP000606	NC_009092.1	Whole genome sequencing (WGS)	missing	missing	Http://www.int-res.com/articles/ame2004/38/a038p081.pdf	102	9	8	8	53.66699735	1	4602595	4602595	30	868	324	5	862	1	0	0	0	99.7	0.31	0
MMP00623068	MarRef	GCA_000016905.1	PRJNA17249	SAMN00623068	CP000716	NC_009616.1	Whole genome sequencing (WGS)	missing	19307556	9336917	51	4	4	4	31.39985735	1	1915239	1915239	5443	104	58	1	103	0	0	0	0	98.28	0	0
MMP00713558	MarRef	GCA_000144645.1	PRJNA30983	SAMN00713558	CP002131	NC_014377.1	Whole genome sequencing (WGS)	30	21304740	15965715	53	3	3	3	46.8201146	1	2280036	2280036	1318	179	104	5	174	0	0	0	0	95.19	0	0
MMP00713560	MarRef	GCA_000147355.1	PRJNA31347	SAMN00713560	CP002205	NC_014506.1	Whole genome sequencing (WGS)	3.7|121.7|30.0	21304749	14657107	44	0	4	4	35.23577488	1	2153199	2153199	138	336	244	2	334	0	0	0	0	99.18	0	0
MMP00713570	MarRef	GCA_000184705.1	PRJNA38025	SAMN00713570	CP002344	NC_014831	Whole genome sequencing (WGS)	340.8|91.0	21304738	10319484	51	2	2	2	72.48208596	1	2844697	2844697	1324	170	97	0	170	0	0	0	0	100	0	0
MMP00713575	MarRef	GCA_000185805.1	PRJNA49403	SAMN00713575	CP002444|CP002445	NC_014926.1|NC_014917.1	Whole genome sequencing (WGS)	missing	10.4056/sigs.2856770	10.1099/ijs.0.02781-0	47	3	3	3	52.12977813	2	1759527	1682965	138	329	237	1	326	2	0	0	0	99.58	0.84	0
MMP00713578	MarRef	GCA_000186245.1	PRJNA46883	SAMN00713578	CP002452	NC_014935.1	Whole genome sequencing (WGS)	30	21886859	15774687	45	0	2	2	53.9119158	1	2101286	2101286	138	335	244	2	331	2	0	0	0	99.18	0.82	0
MMP00713590	MarRef	GCA_000190595.1	PRJNA50743	SAMN00713590	CP002534	NC_015167.1	Whole genome sequencing (WGS)	30	21677859	5360476	40	0	4	4	32.11090151	1	3765937	3765937	47	571	303	1	570	0	0	0	0	99.67	0	0
MMP00713591	MarRef	GCA_000191045.1	PRJNA51497	SAMN00713591	CP002543	NC_015185.1	Whole genome sequencing (WGS)	30	22675590	9734024	44	2	2	2	34.94858518	1	1541969	1541969	138	329	237	2	323	4	0	0	0	99.16	1.69	25
MMP00713593	MarRef	GCA_000192865.1	PRJNA51765	SAMN00713593	CP002583	NC_015276.1	Whole genome sequencing (WGS)	30	22675599	16535688	81	7	7	7	44.12748841	1	4684317	4684317	43	529	233	1	526	1	1	0	0	99.89	0.64	0
MMP00713597	MarRef	GCA_000194135.1	PRJNA48195	SAMN00713597	CP002606	NC_015318.1	Whole genome sequencing (WGS)	missing	21886857	10425760	49	2	2	2	37.47425388	1	1694431	1694431	138	336	244	1	332	2	1	0	0	99.59	1.02	20
MMP00713598	MarRef	GCA_000194625.1	PRJNA51621	SAMN00713598	CP002588.1	NC_015320.1	Whole genome sequencing (WGS)	30	missing	missing	46	1	1	1	47.04899148	1	1901944	1901944	95	228	153	1	227	0	0	0	0	99.35	0	0
MMP00713602	MarRef	GCA_000195335.1	PRJNA50827	SAMN00713602	CP002630	NC_015387.1	Whole genome sequencing (WGS)	missing	22675595	12656153	52	0	3	3	29.13979151	2	2244794	2231407	169	315	235	2	313	0	0	0	0	99.15	0	0
MMP00713609	MarRef	GCA_000212355.1	PRJNA62895	SAMN00713609	CP002528	NC_015496.1	Whole genome sequencing (WGS)	missing	21725025	21725025	43	3	3	3	37.28913305	1	3389994	3389994	33	496	263	1	495	0	0	0	0	99.62	0	0
MMP00713610	MarRef	GCA_000212335.1	PRJNA62887	SAMN00713610	CP002526|CP002527	NC_015497.1|NC_015498.1	Whole genome sequencing (WGS)	29|25.60	21705587	21705587	62	5	5	5	44.0383596	2	5393592	5052309	52	693	297	0	691	2	0	0	0	100	0.51	0
MMP00713616	MarRef	GCA_000212675.2	PRJNA52831	SAMN00713616	CP003221.1	NC_016629.1	Whole genome sequencing (WGS)	30	21642452	5927208	62	3	3	3	61.42083364	1	4200535	4200535	61	284	169	0	284	0	0	0	0	100	0	0
MMP00713622	MarRef	GCA_000214215.1	PRJNA52545	SAMN00713622	CP002771	NC_015559	Whole genome sequencing (WGS)	30	23458837	20935088	80	8	8	8	44.28514285	1	3899941	3899941	43	529	233	0	529	0	0	0	0	100	0	0
MMP00713627	MarRef	GCA_000214415.1	PRJNA51821	SAMN00713627	CP002737.1	NC_015562.1	Whole genome sequencing (WGS)	30	missing	11538305	35	2	2	2	32.29991204	1	1854198	1854198	32	308	210	1	307	0	0	0	0	99.52	0	0
MMP00713628	MarRef	GCA_000214665.1	PRJNA53917	SAMN00713628	CP002738	NC_015572.1	Whole genome sequencing (WGS)	30	22123758	22123758	47	3	3	3	51.31004907	1	5051682	5051682	112	579	290	2	568	9	0	0	0	99.93	1.39	0
MMP00713635	MarRef	GCA_000211855.3	PRJNA62899	SAMN00713635	CP002825	NC_015638.1	Whole genome sequencing (WGS)	30	21725025	21725025	38	0	2	2	31.64308683	1	3666763	3666763	47	571	303	1	570	0	0	0	0	99.67	0	0
MMP00713637	MarRef	GCA_000215895.1	PRJNA49451	SAMN00713637	CP002811|CP002812|CP002813|CP002814	NC_017579.1|NC_017577.1|NC_017578.1|NC_017580.1	Whole genome sequencing (WGS)	missing	22328742	10.3354/ame013063	100	11	10	10	46.02958224	4	5526019	5242964	26	989	339	2	987	0	0	0	0	99.84	0	0
MMP00713638	MarRef	GCA_000166295.1	PRJNA46089	SAMN00713638	CP001978|CP001979|CP001980	NC_017506.1|NC_017507.1|NC_017508.1	Whole genome sequencing (WGS)	missing	21304739	19712327	54	3	3	3	56.92706039	3	4779763	4326849	263	506	232	2	503	1	0	0	0	99.53	0.11	0
MMP00777080	MarRef	GCA_900176595.1	PRJEB20241	SAMN00777080	LT838813	NZ_LT838813.1	Whole genome sequencing (WGS)	missing	missing	15545480	47	4	4	4	39.38787696	1	5987195	5987195	28	439	266	0	438	1	0	0	0	100	0.19	0
MMP01081740	MarRef	GCA_000019485.1	PRJNA28247	SAMN01081740	CP000951|CP000952|CP000953|CP000954|CP000955|CP000956|CP000957	NC_010475.1|NC_010476.1|NC_010477.1|NC_010478.1|NC_010479.1|NC_010480.1|NC_010474.1	Whole genome sequencing (WGS)	missing	missing	4998365	3	0	2	2	49.18703729	7	3409936	3008047	79	584	458	0	584	0	0	0	0	100	0	0
MMP01915661	MarRef	GCA_000340565.2	PRJNA185469	SAMN01915661	AOFE01000000	NZ_CP007203.1	Whole genome sequencing (WGS)	25	23555932	missing	48	0	5	5	41.19182296	1	5462272	5462272	82	579	450	1	575	3	0	0	0	99.78	0.67	100
MMP01919351	MarRef	GCA_000390265.1	PRJNA185601	SAMN01919351	CP004077	NC_023151.1	Whole genome sequencing (WGS)	missing	23637642|10360571	10.1007/BF00409880	47	1	1	1	46.24874038	1	1869613	1869613	5443	101	56	0	100	1	0	0	0	100	1.79	100
