mmp_ID	DB	assembly_accession	bioproject_accession	biosample_accession	genbank_accession	NCBI_refseq_accession	analysis_project_type	sequencing_depth	publication_pmid	ref_biomaterial	tRNAs	rRNA5S	rRNA16S	rRNA23S	GC	contigs	Assembly_length	N50	genomes	markers	marker_sets	zero	one	two	three	four	fivepluss	Completeness	Contamination	Strain_heterogeneity
MMP02471580	MarDB	GCA_000341615.1	PRJNA170977	SAMN02471580	AOBS00000000	missing	Whole genome sequencing (WGS)	17.0	23516224	missing	1	1	1	1	63.03873624	82	4674668	128824	228	583	244	2	580	1	0	0	0	99.88	0.14	0
MMP02746696	MarDB	GCA_000685255.1	PRJNA186167	SAMN02746696	ARYI00000000	missing	Whole genome sequencing (WGS)	254.0	missing	missing	1	1	1	1	61.91686756	38	3690522	227932	26	529	308	1	528	0	0	0	0	99.68	0	0
MMP02746699	MarDB	GCA_000685215.1	PRJNA186169	SAMN02746699	ARYJ00000000	missing	Whole genome sequencing (WGS)	199.0	25070064	missing	1	1	1	1	61.39600087	30	3640844	369354	26	529	308	0	520	9	0	0	0	100	1.07	0
MMP02746695	MarDB	GCA_000685295.1	PRJNA186170	SAMN02746695	ARYL00000000	missing	Whole genome sequencing (WGS)	151.0	25070064	missing	1	1	1	1	60.19277249	188	4280176	98871	26	529	308	2	521	6	0	0	0	99.35	1.57	0
MMP02256540	MarDB	GCA_000224005.2	PRJNA62513	SAMN02256540	AFWU00000000	missing	Whole genome sequencing (WGS)	missing	missing	missing	57	3	3	3	67.86409082	1	3779113	3779113	112	581	290	1	579	1	0	0	0	99.94	0.17	0
MMP02948020	MarDB	GCA_001185495.1	PRJNA257174	SAMN02948020	JPTT01000000	missing	Whole genome sequencing (WGS)	50.0	missing	missing	1	2	2	1	44.91102454	877	5618067	16163	80	922	367	35	878	9	0	0	0	97.14	1.07	66.67
MMP03996255	MarDB	GCA_001525585.1	PRJNA231221	SAMN03996255	LRIF01000000	missing	Whole genome sequencing (WGS)	23.278	missing	missing	117	13	12	12	44.84774422	2	5954849	3602134	80	922	367	0	919	3	0	0	0	100	0.45	33.33
MMP00001876	MarDB	GCA_000464845.1	PRJNA213369	SAMN00001876	AVFZ00000000	missing	Whole genome sequencing (WGS)	40.0	missing	missing	39	1	3	3	38.76355456	4	5737367	5441962	79	584	458	2	577	5	0	0	0	99.56	0.56	40
MMP03285415	MarDB	GCA_000830505.1	PRJNA272741	SAMN03285415	JXOK00000000	missing	Whole genome sequencing (WGS)	80.0	missing	missing	2	2	1	1	44.41703307	95	4610820	122372	80	922	367	8	901	12	1	0	0	98.76	2.52	0
MMP03220270	MarDB	GCA_000814665.1	PRJNA268453	SAMN03220270	JWIH00000000	missing	Whole genome sequencing (WGS)	314.0	missing	missing	1	0	10	1	43.31717793	25	5454523	432754	26	752	296	1	740	11	0	0	0	99.89	1.75	72.73
MMP3522225	MarDB	GCA_001458095.1	PRJEB10679	SAMEA3522225	CYPS01000000	missing	Whole genome sequencing (WGS)	108	missing	missing	8	2	3	1	56.47514938	67	4825936	378295	56	582	313	3	577	2	0	0	0	99.25	0.21	0
MMP3528420	MarDB	GCA_001458195.1	PRJEB10690	SAMEA3528420	CYPU01000000	missing	Whole genome sequencing (WGS)	107	missing	missing	4	2	2	0	56.37998591	75	4816148	180450	56	582	313	2	579	1	0	0	0	99.57	0.11	0
MMP00028747	MarDB	GCA_001463865.1	PRJDB3816	SAMD00028747	BBWP01000000	missing	Whole genome sequencing (WGS)	59	26534993	missing	2	0	1	1	66.79827374	94	4248253	161406	356	414	248	0	414	0	0	0	0	100	0	0
MMP02471958	MarDB	GCA_000264055.1	PRJNA165647	SAMN02471958	AJXL00000000	missing	Whole genome sequencing (WGS)	25.0	missing	missing	3	0	1	1	34.83237078	285	3955606	33333	81	511	283	3	507	1	0	0	0	99.12	0.12	0
MMP02207452	MarDB	GCA_000422205.1	PRJNA208571	SAMN02207452	ATHV00000000	missing	Whole genome sequencing (WGS)	337	23950126	missing	1	1	3	1	67.98559413	66	3912296	125439	61	284	169	1	283	0	0	0	0	99.41	0	0
MMP04331779	MarDB	GCA_001575035.1	PRJNA305687	SAMN04331779	LONE00000000	missing	Whole genome sequencing (WGS)	200.0	missing	missing	7	1	1	1	65.08917353	54	4226031	156845	228	583	244	1	580	2	0	0	0	99.94	0.27	0
MMP03955537	MarDB	GCA_001302265.1	PRJNA291822	SAMN03955537	LHQM01000000	missing	Whole genome sequencing (WGS)	50.0	26586875	missing	1	0	1	1	39.47156667	91	1700083	63803	294	472	265	0	472	0	0	0	0	100	0	0
MMP02440812	MarDB	GCA_000424985.1	PRJNA188327	SAMN02440812	AUKX00000000	missing	Whole genome sequencing (WGS)	missing	missing	missing	1	0	1	0	36.78650228	104	4480166	93553	47	571	303	1	569	1	0	0	0	99.67	0.17	0
MMP03004776	MarDB	GCA_000804515.1	PRJNA259400	SAMN03004776	JRGQ00000000	missing	Whole genome sequencing (WGS)	400.0	25466920	missing	4	2	1	1	59.62024444	167	3829675	48654	223	860	300	4	848	8	0	0	0	99.4	0.97	0
MMP02738237	MarDB	GCA_000696325.1	PRJNA245483	SAMN02738237	JMIU00000000	missing	Whole genome sequencing (WGS)	170.0	missing	missing	2	1	0	1	42.46935904	5	2618065	2501262	1495	260	164	10	250	0	0	0	0	95.63	0	0
MMP03107816	MarDB	GCA_000807925.1	PRJNA263865	SAMN03107816	JRVC00000000	missing	Whole genome sequencing (WGS)	50.0	11491340	missing	1	1	1	1	63.21722607	54	4885943	181386	26	569	293	3	566	0	0	0	0	99.48	0	0
MMP03220273	MarDB	GCA_000814675.1	PRJNA268458	SAMN03220273	JWIG00000000	missing	Whole genome sequencing (WGS)	383.0	missing	missing	6	0	9	1	39.20158368	32	4532749	240818	26	752	296	0	751	1	0	0	0	100	0.17	0
MMP02990926	MarDB	GCA_000754095.1	PRJNA258228	SAMN02990926	JQSG00000000	missing	Whole genome sequencing (WGS)	338.0	25342676	missing	3	1	1	1	64.45765458	71	3323206	193286	112	581	290	29	539	10	3	0	0	94.37	1.79	0
MMP3531501	MarDB	GCA_001458275.1	PRJEB10711	SAMEA3531501	CYSC01000000	missing	Whole genome sequencing (WGS)	106	missing	missing	1	2	2	3	59.7697171	47	4426122	195645	56	582	313	4	577	1	0	0	0	98.94	0.06	0
MMP3531082	MarDB	GCA_001458255.1	PRJEB10710	SAMEA3531082	CYSB01000000	missing	Whole genome sequencing (WGS)	58	missing	missing	1	1	1	1	59.78713267	48	4359148	239874	56	582	313	4	577	1	0	0	0	98.94	0.06	0
MMP3532031	MarDB	GCA_001458435.1	PRJEB10713	SAMEA3532031	CYSF01000000	missing	Whole genome sequencing (WGS)	93	missing	missing	8	3	2	2	58.70056361	19	3431658	312125	56	582	313	3	579	0	0	0	0	99.04	0	0
MMP02441146	MarDB	GCA_000430545.1	PRJNA188811	SAMN02441146	AUMF00000000	missing	Whole genome sequencing (WGS)	missing	missing	missing	2	0	1	1	29.53267602	34	4124463	242227	53	548	298	2	546	0	0	0	0	99.33	0	0
MMP02471204	MarDB	GCA_000401515.2	PRJNA196437	SAMN02471204	ASSK02000000	missing	Whole genome sequencing (WGS)	1780	24201203	missing	2	4	2	2	39.62722217	355	2805479	12340	1164	275	174	10	265	0	0	0	0	98.43	0	0
MMP3542246	MarDB	GCA_001458235.1	PRJEB10704	SAMEA3542246	CYUE01000000	missing	Whole genome sequencing (WGS)	105	missing	missing	8	3	1	1	54.45587235	26	3479690	329223	56	582	313	11	571	0	0	0	0	98.19	0	0
MMP3542138	MarDB	GCA_001458335.1	PRJEB10703	SAMEA3542138	CYTO01000000	missing	Whole genome sequencing (WGS)	79	missing	missing	15	1	1	1	54.35712614	26	3362068	663174	56	582	313	14	568	0	0	0	0	97.71	0	0
MMP02948027	MarDB	GCA_001185645.1	PRJNA257174	SAMN02948027	JPTQ01000000	missing	Whole genome sequencing (WGS)	50.0	missing	missing	2	2	1	2	44.90065494	765	5852733	20336	80	922	367	6	909	7	0	0	0	99.26	0.45	28.57
MMP03295007	MarDB	GCA_001077695.1	PRJNA273644	SAMN03295007	JXRW01000000	missing	Whole genome sequencing (WGS)	40.0	26316635	missing	2	4	4	1	44.5898006	125	4667158	79162	52	693	297	0	691	2	0	0	0	100	0.51	0
MMP03080593	MarDB	GCA_000801615.1	PRJNA262099	SAMN03080593	JRWD00000000	missing	Whole genome sequencing (WGS)	190.0	missing	missing	1	0	6	6	32.897533	128	2518968	57763	81	511	283	4	506	1	0	0	0	98.59	0.35	0
MMP3529277	MarDB	GCA_001458315.1	PRJEB10698	SAMEA3529277	CYRX01000000	missing	Whole genome sequencing (WGS)	56	missing	missing	4	1	1	1	58.63810549	33	3592056	325098	67	617	330	3	610	4	0	0	0	99.33	1.06	0
MMP3489929	MarDB	GCA_001403735.1	PRJEB9955	SAMEA3489929	CXPG01000000	missing	Whole genome sequencing (WGS)	79	missing	missing	7	1	1	1	67.87895294	27	3660825	351653	67	617	330	5	609	3	0	0	0	99.15	0.44	0
MMP3312982.1	MarDB	GCA_001049735.1	PRJEB8965	SAMEA3312982	CVPC01000000	missing	Whole genome sequencing (WGS)	77	missing	missing	3	3	2	1	54.01559853	69	2888350	164399	67	615	329	3	605	6	0	1	0	99.09	1.47	50
MMP3312982.2	MarDB	GCA_001404155.1	PRJEB8965	SAMEA3312982	CVQV01000000	missing	Whole genome sequencing (WGS)	77	missing	missing	3	3	2	1	54.0153908	69	2888350	164399	67	615	329	3	605	6	0	1	0	99.09	1.47	50
MMP3493278	MarDB	GCA_001404055.1	PRJEB10022	SAMEA3493278	CXTY01000000	missing	Whole genome sequencing (WGS)	68	missing	missing	5	0	1	2	53.79944231	41	5993249	294920	107	484	316	1	480	3	0	0	0	99.68	0.74	0
MMP3495628	MarDB	GCA_001404295.1	PRJEB10040	SAMEA3495628	CXWA01000000	missing	Whole genome sequencing (WGS)	49	missing	missing	3	0	1	1	56.38422176	35	6894561	597227	107	484	316	1	482	1	0	0	0	99.68	0.32	0
MMP3495629	MarDB	GCA_001404515.1	PRJEB10058	SAMEA3495629	CXWE01000000	missing	Whole genome sequencing (WGS)	63	missing	missing	3	0	1	1	56.38143516	32	6901693	759012	107	484	316	1	482	1	0	0	0	99.68	0.32	0
MMP3495743	MarDB	GCA_001406035.1	PRJEB10059	SAMEA3495743	CXWC01000000	missing	Whole genome sequencing (WGS)	39	missing	missing	2	0	1	1	56.38987043	21	6867339	755991	107	484	316	1	482	1	0	0	0	99.68	0.32	0
MMP3495742	MarDB	GCA_001405815.1	PRJEB10063	SAMEA3495742	CXWD01000000	missing	Whole genome sequencing (WGS)	28	missing	missing	3	0	1	1	56.34950635	47	5351858	225841	107	484	316	1	478	5	0	0	0	99.68	1	0
MMP02688025	MarDB	GCA_000699585.1	PRJNA240953	SAMN02688025	JJMM00000000	missing	Whole genome sequencing (WGS)	86.03	25081264	missing	2	9	8	4	41.27795859	26	3404634	314236	304	250	143	0	243	7	0	0	0	100	4.2	85.71
MMP02471934	MarDB	GCA_000300355.3	PRJNA168653	SAMN02471934	AKYG00000000	missing	Whole genome sequencing (WGS)	60	missing	missing	1	7	0	2	33.57715842	56	4770633	2829736	80	922	367	24	893	5	0	0	0	94.85	0.95	0
MMP04293676	MarDB	GCA_001469215.1	PRJNA209414	SAMN04293676	LOFH01000000	missing	Whole genome sequencing (WGS)	93.4	missing	missing	4	0	7	0	40.29923509	26	4473741	412646	26	752	296	0	750	2	0	0	0	100	0.51	0
MMP04293674	MarDB	GCA_001468185.1	PRJNA209414	SAMN04293674	LODK01000000	missing	Whole genome sequencing (WGS)	94.7	missing	missing	2	0	0	1	39.59693443	29	4040882	269207	26	752	296	3	748	1	0	0	0	99.6	0.17	0
MMP04293672	MarDB	GCA_001468485.1	PRJNA209414	SAMN04293672	LODI01000000	missing	Whole genome sequencing (WGS)	85.4	missing	missing	2	0	1	0	39.65035947	48	4030083	186927	26	752	296	6	744	2	0	0	0	99.17	0.51	0
MMP03068711	MarDB	GCA_000758485.1	PRJNA231170	SAMN03068711	JRHP00000000	missing	Whole genome sequencing (WGS)	1443.0	missing	missing	1	4	1	2	39.98558363	534	3035440	13604	1164	275	174	3	265	7	0	0	0	98.81	0.97	0
MMP3535146	MarDB	GCA_001457775.1	PRJEB10673	SAMEA3535146	CYSG01000000	missing	Whole genome sequencing (WGS)	61	missing	missing	1	1	1	1	58.0344693	56	4112936	214888	32	625	283	1	624	0	0	0	0	99.82	0	0
MMP3542132	MarDB	GCA_001458295.1	PRJEB10702	SAMEA3542132	CYUD01000000	missing	Whole genome sequencing (WGS)	104	missing	missing	3	1	1	1	56.73369956	42	4620121	290832	56	582	313	2	580	0	0	0	0	99.79	0	0
MMP04293677	MarDB	GCA_001469195.1	PRJNA209414	SAMN04293677	LOFI01000000	missing	Whole genome sequencing (WGS)	109.1	missing	missing	4	0	4	1	39.34150905	29	4201304	288160	26	752	296	0	748	3	1	0	0	100	0.84	16.67
MMP04293673	MarDB	GCA_001468205.1	PRJNA209414	SAMN04293673	LODJ01000000	missing	Whole genome sequencing (WGS)	203.0	missing	missing	6	0	5	0	39.65522083	17	4059817	387784	26	752	296	0	751	1	0	0	0	100	0.17	0
MMP04293675	MarDB	GCA_001469205.1	PRJNA209414	SAMN04293675	LOFG01000000	missing	Whole genome sequencing (WGS)	167.8	missing	missing	2	0	8	0	39.40412998	21	4416434	477384	26	752	296	0	750	2	0	0	0	100	0.34	0
MMP03996257	MarDB	GCA_001525595.1	PRJNA231221	SAMN03996257	LRIG01000000	missing	Whole genome sequencing (WGS)	23.852	missing	missing	13	13	12	12	44.6536185	3	5210441	3352165	80	922	367	0	918	4	0	0	0	100	0.46	25
MMP02948026	MarDB	GCA_001185405.1	PRJNA257174	SAMN02948026	JPTP01000000	missing	Whole genome sequencing (WGS)	50.0	missing	missing	2	6	3	1	44.84584395	341	5987635	60861	80	922	367	13	900	9	0	0	0	97.94	0.73	33.33
MMP03003781	MarDB	GCA_000754225.1	PRJNA259325	SAMN03003781	JQJA00000000	missing	Whole genome sequencing (WGS)	20.0	missing	missing	2	5	1	1	62.48397544	97	3965008	89168	263	507	232	3	503	1	0	0	0	98.71	0.43	0
MMP02948028	MarDB	GCA_001185455.1	PRJNA257174	SAMN02948028	JPTR01000000	missing	Whole genome sequencing (WGS)	50.0	missing	missing	1	3	2	1	44.85442006	1338	6095621	10413	80	922	367	16	895	11	0	0	0	98.24	1.14	63.64
MMP02948029	MarDB	GCA_001185465.1	PRJNA257174	SAMN02948029	JPTS01000000	missing	Whole genome sequencing (WGS)	50.0	missing	missing	1	1	2	1	44.99710952	1757	5531963	5949	80	922	367	31	868	23	0	0	0	97.09	2.29	60.87
MMP02948018	MarDB	GCA_001185515.1	PRJNA257165	SAMN02948018	JPTJ01000000	missing	Whole genome sequencing (WGS)	50.0	missing	missing	4	6	4	1	45.51012562	601	5178598	19259	80	922	367	62	853	7	0	0	0	96.01	1.12	57.14
MMP04320974	MarDB	GCA_001517915.1	PRJNA305231	SAMN04320974	LOQI01000000	missing	Whole genome sequencing (WGS)	100.0	missing	missing	1	0	1	2	25.43656493	247	1768581	19664	174	149	89	0	145	4	0	0	0	100	4.49	50
MMP02440581	MarDB	GCA_000421285.1	PRJNA195832	SAMN02440581	ATWO00000000	missing	Whole genome sequencing (WGS)	missing	missing	missing	51	3	3	3	51.23704885	5	5118756	4821415	83	247	155	1	246	0	0	0	0	99.35	0	0
MMP02946480	MarDB	GCA_000817825.1	PRJNA207882	SAMN02946480	JPRC00000000	missing	Whole genome sequencing (WGS)	146.0	22055753	missing	1	0	1	1	45.50285864	55	5833718	355252	80	922	367	0	918	4	0	0	0	100	0.37	0
MMP00839716	MarDB	GCA_000370925.1	PRJNA173519	SAMN00839716	AQKP00000000	missing	Whole genome sequencing (WGS)	139.0	missing	missing	16	6	3	6	57.10847512	4	3324828	1918775	87	1399	225	11	1383	5	0	0	0	99.43	0.68	0
MMP02208950	MarDB	GCA_000477035.2	PRJNA209293	SAMN02208950	ATLJ00000000	missing	Whole genome sequencing (WGS)	50	missing	missing	44	0	4	4	34.66971017	1	4560541	4560541	47	571	303	1	568	2	0	0	0	99.67	0.38	0
MMP02948024	MarDB	GCA_001185585.1	PRJNA257174	SAMN02948024	JPTN01000000	missing	Whole genome sequencing (WGS)	50.0	missing	missing	2	1	1	1	44.72578141	86	5827414	117587	80	922	367	0	920	2	0	0	0	100	0.18	0
MMP02441568	MarDB	GCA_000421645.1	PRJNA188829	SAMN02441568	ATXK00000000	missing	Whole genome sequencing (WGS)	missing	missing	missing	1	0	1	1	66.7218702	38	4615648	316167	356	414	248	0	413	1	0	0	0	100	0.2	0
MMP00993779	MarDB	GCA_000310645.1	PRJNA86329	SAMN00993779	ANEG00000000	missing	Whole genome sequencing (WGS)	222.16	missing	missing	2	2	0	0	35.18747871	25	2049247	142580	240	524	282	0	523	1	0	0	0	100	0.18	0
MMP02440566	MarDB	GCA_000420085.1	PRJNA182447	SAMN02440566	ATUG00000000	missing	Whole genome sequencing (WGS)	missing	missing	missing	14	3	3	1	50.57931488	6	6119471	2416792	83	247	155	1	243	3	0	0	0	99.35	1.61	0
MMP03951930	MarDB	GCA_001274785.1	PRJNA290060	SAMN03951930	LHPI01000000	missing	Whole genome sequencing (WGS)	205.0	missing	missing	5	2	1	1	46.23251086	88	4822709	292816	71	1067	378	0	1044	23	0	0	0	100	1.82	0
MMP3492688	MarDB	GCA_001403915.1	PRJEB10003	SAMEA3492688	CXST01000000	missing	Whole genome sequencing (WGS)	58	missing	missing	3	1	1	1	58.84474712	39	6696128	1997998	107	484	316	2	478	4	0	0	0	99.37	0.85	0
MMP02471028	MarDB	GCA_000168735.1	PRJNA16744	SAMN02471028	AASF00000000	NZ_AASF00000000	Whole genome sequencing (WGS)	missing	17218528	missing	1	1	0	1	57.86631344	2170	3203254	1953	112	577	287	223	331	23	0	0	0	58.17	4.61	17.39
MMP00839725	MarDB	GCA_000371025.1	PRJNA173528	SAMN00839725	AQKU00000000	missing	Whole genome sequencing (WGS)	129.0	missing	missing	5	6	3	6	56.87217427	7	3361077	630730	87	1402	225	8	1388	6	0	0	0	99.5	0.71	0
MMP02470244	MarDB	GCA_000175855.1	PRJNA40111	SAMN02470244	ACYB00000000	NZ_ACYB00000000	Whole genome sequencing (WGS)	missing	20169071	missing	1	0	2	2	40.05678939	47	3186512	127752	82	579	450	4	575	0	0	0	0	99.37	0	0
MMP03421179	MarDB	GCA_001293185.1	PRJNA278443	SAMN03421179	LAFZ01000000	missing	Whole genome sequencing (WGS)	400.0	26350139	missing	1	9	5	0	41.20682827	34	4552778	636609	80	921	366	4	914	3	0	0	0	99.4	0.59	0
MMP03952659	MarDB	GCA_001307765.1	PRJNA291771	SAMN03952659	LKBA01000000	missing	Whole genome sequencing (WGS)	100.0	missing	missing	3	3	3	3	58.41550618	27	3725380	625830	67	616	330	2	606	8	0	0	0	99.6	1.08	0
MMP00811226	MarDB	GCA_000371045.1	PRJNA173608	SAMN00811226	AQKV00000000	missing	Whole genome sequencing (WGS)	189.0	missing	missing	1	3	3	3	57.25875329	54	3307642	90174	87	1402	225	8	1388	6	0	0	0	99.5	0.71	0
MMP01047751	MarDB	GCA_000370965.1	PRJNA176540	SAMN01047751	AQKR00000000	missing	Whole genome sequencing (WGS)	60.0	missing	missing	1	3	3	3	57.23705422	56	3312509	100212	87	1402	225	8	1388	6	0	0	0	99.5	0.71	0
